platform,actor_handle,created_at,text
synthetic,actor_3,2025-01-01,rick perry join list official say trump belief climate change energy secretary call intellectual conversation global warming
synthetic,actor_3,2025-01-01,june job report u economy add job unemployment rate unchanged read entire bls analysis actually growing quite quickly last half year job
synthetic,actor_3,2025-01-01,state dept worker helped clinton set email server take fifth email scandal saga continues
synthetic,actor_3,2025-01-01,new year brings minimum wage hike american state friday increase new average minimum wage across affected state rise hour
synthetic,actor_3,2025-01-01,white house responds sexual misconduct allegation roy moore alabama gop senate nominee accused molesting year old girl
synthetic,actor_3,2025-01-01,photo show sheer devastation kobe quake
synthetic,actor_3,2025-01-01,war cia senate democrat everybody except public entire investigation cia role illegal torture died allegedly senate sergeant arm trust cia cia inspector general find cia accusation democratic led committee based inaccurate information u attorney general asserts cia case committee worth pursuing
synthetic,actor_3,2025-01-01,jon husted v nina turner nonpartisan candidate guide ohio secretary state race looking nonpartisan voter guide jon husted v nina turner secretary state race one give unbiased no spin comparison candidate position key issue campus election engagement project guide give
synthetic,actor_3,2025-01-01,washington day baseball blood brotherhood gunman shot five people practice congressional baseball game annual bipartisan event
synthetic,actor_3,2025-01-01,build mobile community building mobile community building community engage interact add value show support group important
synthetic,actor_3,2025-01-01,monday morning email everything need know last night oscar best look red carpet
synthetic,actor_3,2025-01-01,trump delivering politicized judiciary republican dreamed first published boston globe pro trump conservative ignore transcendent unfitness creating
synthetic,actor_3,2025-01-01,trump russia probe made thing bit awkward fbi welcomed new bos fbi director christopher wray replaced fired former director james comey said bureau must embrace change
synthetic,actor_3,2025-01-01,donald trump admirer spend day jail plot bomb muslim william celli said facebook post would follow trump end world
synthetic,actor_3,2025-01-01,huffpollster brexit poll fared depends survey look telephone poll favored remain internet poll correctly pointed toward win leave
synthetic,actor_3,2025-01-01,truth paul ryan first big test time clich might accurate not
synthetic,actor_3,2025-01-01,extorting coercion economist feb cover displayed venus de milo statue pointing revolver headline go ahead angela make day editor upside world greece threatening europe least germany really
synthetic,actor_3,2025-01-01,rep adam kinzinger rip gop party lie conspiracy dishonesty seen momentum party move away lie towards truth said republican recently announced seek reelection
synthetic,actor_3,2025-01-01,east coast republican slam trump administration offshore drilling plan florida sen marco rubio gov rick scott among first criticize proposal
synthetic,actor_3,2025-01-01,become global citizen year world leader agree pathway sustainable development global citizen taking challenge make sure known throughout world acted going hear knowledgeable culturally relevant people subject create dialogue challenge solution done term national development
synthetic,actor_4,2025-01-01,virgin galactic spaceshiptwo space plane go supersonic third test flight video photo virgin galactic spaceshiptwo flight show view aft private space plane made third supersonic
synthetic,actor_4,2025-01-01,big short director adam mckay hollywood liberal make money
synthetic,actor_4,2025-01-01,biden giving gun control negotiator space president boasted deal making ability backed away day day congressional action key issue
synthetic,actor_4,2025-01-01,kevin bacon come talk text movie drop phone put hand air
synthetic,actor_4,2025-01-01,adam sandler red carpet date year old doppelg nger related
synthetic,actor_4,2025-01-01,dark side guardian comment comment allow reader respond article instantly asking question pointing error giving new lead
synthetic,actor_4,2025-01-01,sarah michelle gellar rap cinderella princess rap battle
synthetic,actor_4,2025-01-01,plan next great adventure part completed round world trip across continent country city getting ready hop around latin america couple month learned best practice make planning phase smoother less pull hair experience
synthetic,actor_4,2025-01-01,read tech ceo moving martin luther king tribute u people
synthetic,actor_4,2025-01-01,couple want lean together need employer change
synthetic,actor_4,2025-01-01,iran jail blogger year iranian weblogger jailed year charge spying aiding foreign counter revolutionary arash sigarchi arrested last month using blog criticise arrest online journalist mr sigarchi also edits newspaper northern iran sentenced revolutionary court gilan area sentence criticised human right watchdog reporter without border come day online day action secure release iranian authority recently clamped growing popularity weblogs restricting access major blogging site within iran second iranian blogger motjaba saminejad also used website report blogger arrest still held spokesman reporter without border track press freedom across globe described mr sigarchi sentence harsh called iranian president mohammed khatami work secure immediate release authority trying make example organisation said statement handing harsh sentence weblogger aim dissuade journalist internet user expressing online contacting foreign medium day arrest mr sigarchi gave interview bbc persian service u funded radio farda iranian authority arrested online journalist current crackdown accused mr sigarchi string crime iranian state including espionage insulting founder iran islamic republic ayatollah ruhollah khomenei current supreme leader ayatollah ali khamenei mr sigarchi lawyer labelled revolutionary court illegal incompetent called retrial public court mr sigarchi sentenced one day online campaign highlighted case day action defence blogger around world committee protect blogger designated february free mojtaba arash day around people visited campaign website day user based iran campaign director told bbc news website curt hopkins said mr sigarchi sentence would not dent resolve blogger joining campaign help highlight case eye million blogger going focused iran since sigarchi sentence not less mullah able make move without spread across blogosphere
synthetic,actor_4,2025-01-01,bachelorette finale showcase emily maynard best worst fashion photo want sure check huffpost style twitter facebook tumblr pinterest emily maynard chosen
synthetic,actor_4,2025-01-01,habit people make thing happen people get thing done willing embrace suck keep coming back
synthetic,actor_4,2025-01-01,russia eye lure chinese tourist
synthetic,actor_4,2025-01-01,williamsburg virginia lure history buff spa babe
synthetic,actor_4,2025-01-01,trump eye warmer tie china congressional delegation visit dalai lama trip likely rile beijing regard dangerous splittist
synthetic,actor_4,2025-01-01,aaron paul wife lauren parsekian expecting first child breaking dad
synthetic,actor_4,2025-01-01,fox news doctor ben carson right gun holocaust mindset jew surrendered gun far important hardware turned
synthetic,actor_4,2025-01-01,singapore memorable street food prime example peranakan cuisine also known nonya mix chinese malaysian flavor laksa rich noodle soup spicy coconut milk broth thick rice noodle
synthetic,actor_4,2025-01-01,google driverless car division go hiring spree happening people
synthetic,actor_5,2025-01-01,swap offer pirated window xp computer giant microsoft launched pilot scheme replace counterfeit version window xp legal one first time initiative restricted uk user pre installed copy operating system pc bought november december microsoft said software sent analysis doubt legitimacy company aim detect illegal trader turn user fake version window legitimate one window xp counterfeit project mean software found counterfeit replaced free subject certain condition end year first time microsoft launched counterfeit product replacement scheme world company told bbc news website june software giant said major security update window xp service pack would not work widely pirated version operating system upgrade closed security loophole xp added feature made easier keep machine safe virus type malicious computer code u company invited anyone suspicion version window xp submit testing soon possible procedure consists series computer check collating document filling witness statement great opportunity user confirm authenticity window xp software whilst helping gather vital information illegal trader said alex hilton licence compliance manager microsoft scheme also welcomed technology commerce industry important user ensure legally licensed avoid risk purchasing using counterfeit product said david frost director general british chamber commerce plan would enable microsoft gather intelligence illegal trader prompt way would allow take action software pirate microsoft said would evaluate result uk programme setting similar scheme country
synthetic,actor_5,2025-01-01,saving cherished national pastime global war terror popular engagement country misadventure abroad used salute uniformed serviceman lack enthusiasm used heyday war terror suggestion impart new energy america war
synthetic,actor_5,2025-01-01,make face mask juice sugar yes really video sound strange alpha hydroxy acid aha mask known smooth brighten skin thanks natural
synthetic,actor_5,2025-01-01,jerusalem ein kerem artist hidden courtyard walkway take day beautiful ein kerem get know many shade meet artist shop restaurant create exceptional mosaic village
synthetic,actor_5,2025-01-01,airline work together declare war cyber attacker protecting industry cyber threat hard probably one hardest thing facing not know facing prepare
synthetic,actor_5,2025-01-01,consumer lose rigged wireless auction picking winner loser bad policy instead policy empower consumer freely choose service service provider want competition not improved rule limit auction participation restrict spectrum create shortage raise consumer price
synthetic,actor_5,2025-01-01,national park view not missed photo america national park offer gorgeous scenery country yellowstone florida favorite view
synthetic,actor_5,2025-01-01,mega million lottery someone got ta win read wrote book called son son gambler winner loser win lottery whenever jackpot hit record high like mega million lottery last week book climb top amazon chart boil advice five point
synthetic,actor_5,2025-01-01,edward snowden prosecuting nsa leaker threatens free press snowden said reality winner treatment bad news first amendment
synthetic,actor_5,2025-01-01,tokyo olympics ban spectator abroad covid fear official said risk great admit ticket holder overseas coronavirus pandemic
synthetic,actor_5,2025-01-01,cere four mile tall pyramid closer ever still puzzling mountain formed not yet understood big big mystery u right
synthetic,actor_5,2025-01-01,birth control emoji two woman decided time one
synthetic,actor_5,2025-01-01,palestinian leader say still committed talk israel
synthetic,actor_5,2025-01-01,orrin hatch think john mccain wish funeral without donald trump ridiculous utah senator said hope mccain change mind
synthetic,actor_5,2025-01-01,thing know kim kardashian
synthetic,actor_5,2025-01-01,u canada relation hinge nafta cooperation state american canadian relation critical point u president donald trump campaigned america first
synthetic,actor_5,2025-01-01,emi share hit profit warning share music giant emi sunk firm issued profit warning following disappointing sale delay two album release emi said music sale year march fall year profit set lower analyst expected blamed poor sale since christmas delay release new album coldplay gorillaz gmt monday emi share penny emi said two major album scheduled release end financial year march one coldplay one gorillaz release date put back emi music sale particularly order january also lower anticipated expected continue february march company added therefore full year constant currency emi music sale expected lower prior year company said expected profit alain levy chairman chief executive emi music described performance disappointing added remained optimistic future trend industry physical music market showing sign stabilisation many part world digital music form continues develop rapid pace said commenting delay release coldplay gorillaz album mr levy said creating marketing music not exact science not always coincide reporting period rescheduling recent softness disappointing not change view improving health global recorded music industry added paul richards analyst numis security said market would focusing slump music sale rather timing two album unusual see much downgrade phasing said
synthetic,actor_5,2025-01-01,election margin theft democrat need landslide order overcome gop gerrymander
synthetic,actor_5,2025-01-01,net fingerprint combat attack eighty large net service firm switched software spot stop net attack automatically system creates digital fingerprint ongoing incident sent every network affected firm involved smart sensing system believe help trace attack back source data gathered passed police help build intelligence behind worm outbreak denial service attack firm signing sensing system include mci bt deutsche telekom energis ntt bell canada many others creation fingerprinting system brokered u firm arbor network signature attack passed anyone suffering weight attack increasingly computer criminal using swarm remotely controlled computer carry denial service attack website launch worm relay spam around net seen attack involving five ten gigabyte traffic said rob pollard sale director arbor network behind fingerprinting system attack size cause collateral damage cross internet get destination said attack spotted signature defined information passed back chain network affected help every unwitting player tackle problem mr pollard said arbor not charging service would pas fingerprint data every network affected want help net service firm communicate push attack back around world source said mr pollard arbor network technology work building detailed history traffic network spot computer group user regularly talk type traffic pass machine workgroups anomaly usual pattern spotted flagged network administrator take action traffic due net based attack kind type close analysis become useful net attack increasingly launched using several hundred thousand different machine anyone looking traffic machine machine basis would unlikely spot part concerted attack attack getting diffuse sophisticated said malcolm seagrave security expert energis last month started getting noticeable criminal taking seen massive growth said although informal system exist pas information attack often commercial confidentiality got way sharing enough information properly combat attack
synthetic,actor_5,2025-01-01,facebook drone frickin internet laser ready testing century many project stratospheric ambition pneumatic train space ship come naught
synthetic,actor_6,2025-01-01,buzz aldrin apollo moonwalker refutes auction keeping space memorabilia extraordinary piece offer two page entry apollo log book bonhams wrote effectively equal
synthetic,actor_6,2025-01-01,no one actually sure sharing economy even exists new era work maybe possibly
synthetic,actor_6,2025-01-01,caffeine crystal electron microscope look right willy wonka world photo no disputing last point fda say percent people world consume caffeine form
synthetic,actor_6,2025-01-01,watch top youtube video week looking see popular youtube video week look no bringing
synthetic,actor_6,2025-01-01,image show saturn north polar region changed color nasa want know
synthetic,actor_6,2025-01-01,tesla ceo tout safety self driving car say way safer human driver
synthetic,actor_6,2025-01-01,john mccain learn consequence snubbing trump pulling endorsement could give boost senate race come heavy price
synthetic,actor_6,2025-01-01,world brightest x ray laser getting big upgrade help development new technology life saving drug future scientist say
synthetic,actor_6,2025-01-01,eating slowly really make food taste better breathe meal new study show
synthetic,actor_6,2025-01-01,fbi could eavesdropping toaster case already terrified cybersecurity
synthetic,actor_6,2025-01-01,mindfulness revolutionizing mental health care
synthetic,actor_6,2025-01-01,twist kim kardashian get people click away instagram medium saved maybe
synthetic,actor_6,2025-01-01,multi purpose tv aid india two third world population billion people live year less might think last thing mind would getting television set computer not case many people developing world give one daily meal afford buy tv indian born computer engineer think come way give cheap access internet carnegie mellon professor raj reddy spent bulk professional career trying find way make technology accessible poor people first step figure poor people would want personal computer professor reddy think pretty good idea might come village say prof reddy know population like many illiterate many concern nobody use conventional us pc word processing powerpoint said clear people wanted use pc village usable illiterate people must primarily entertainment education telemedicine access expert advice prof reddy also think tying kind aid package wrong approach asked aid group could possibly give expensive computer million less fortunate indian let alone billion poor people around world instead prof reddy decided think million indian potential market problem becomes one making product compelling enough must compelling would give third meal order prof reddy say people today television set go india many country first go get television set worry one meal personalized entertainment become important hatched completely new idea call pctvt personal computer television telephone one run normal desktop machine literate user surf application keyboard mouse illiterate user use look like television remote control screen picture not word designate application like tv voice mail video e mail dependence graphic video audio mean computer illiterate person need time power memory one phd prassana rambathla one prof reddy graduate student say talking illiterate talking audio video demand exponentially high bandwidth choke point time withstand anything no matter pressing major part making foolproof tough never break say carnegie mellon team say project possible pc much cheaper built audio video hardware software limited trial pctvt due start month indian state andhra pradesh although andhra pradesh fairly good infrastructure work done ensure reliable connection net prof reddy teamed eric brewer university california berkeley answer say prof brewer wi fi looking thing see starbuck many hotspot say lot work long distance wireless make network work better presence intermittency power go link go computer connected get turned no reason prof reddy say hope lease pctvts month think indian rent unit television dvd capability reddy say introduce pctvt technology video mail example farmer could use pctvt webcam send picture harmful insect local official could send back proposed course action farmer prof reddy think kind communication real pay underlying problem say increase wealth reduce poverty reduce illiteracy improve health care postulating technology enable would uphill battle even technology uphill battle tool hope reach way not possible clark boyd technology correspondent world bbc world service wgbh boston co production
synthetic,actor_6,2025-01-01,iran nuclear deal pit u congress versus u ally serious challenge nuclear deal may not address human right record tehran theocracy statement challenging legitimacy israel however perspective obama administration u ally nuclear deal seen first step empowering progressive trend iran
synthetic,actor_6,2025-01-01,uber offering ride new york city major catch
synthetic,actor_6,2025-01-01,kristen stewart stuns nude photo series latest mario testino
synthetic,actor_6,2025-01-01,gold fall imf sale concern price gold fallen international monetary fund imf said look way using gold reserve provide debt relief revaluing holding imf may able sell billion dollar gold use cash cancel debt owed world poorest nation plan put forward g finance minister weekend price gold fell ounce asia rebounding slightly early european trading imf bos rodrigo rato asked g minister carry study feasibility revaluing selling gold reserve expected present conclusion imf meeting washington april whatever happens market going disconcerted back foot april imf meeting said john reade analyst ubs imf value gold reserve ounce price fixed tenth metal current market value imf tonne gold ounce bringing book price gold line market value would boost imf balance sheet giving money distribute idea put forward seems committed political drive address issue global poverty first time mention use gold g communiqu achieving debt relief said uk chancellor exchequer gordon brown meeting london g finance minister backed plan write debt owed world poorest country mr brown said meeting would remembered debt relief summit debt relief seems jumped top global agenda not everyone convinced selling imf gold best way forward u veto plan sell imf gold choose said looking way solving problem u not convinced necessary way said treasury secretary john taylor canada key gold producer also expressed reservation
synthetic,actor_6,2025-01-01,lyrid meteor shower peak tonight april may dulled moonlight best time seek lyrid meteor actually wee hour monday morning april moon set
synthetic,actor_6,2025-01-01,oh no game throne delay way worse thought oh sweet summer child
synthetic,actor_6,2025-01-01,changing terrifying nature new cyber warfare hidden battlefield history first known cyber war casualty piling read vanity fair
synthetic,actor_7,2025-01-01,snl take iphone problem skit pitting tech blogger chinese factory worker video show recent tech talk skit assembles mock talk show vocal tech blogger air grievance device
synthetic,actor_7,2025-01-01,pc photo printer challenge pro home printed picture cheaper higher quality high street developer test show survey carried pc pro magazine looked home photo printer offered better deal handing snap photo lab test found image top pc printer kept colour longer professionally produced photograph using wrong printer cartridge could mean snap fade month warned magazine group test home photo printer pc discovered much cost create image using device compared online developer well high street name jessops boot snappy snap comprehensive test also revealed quickly different printer produced image quality finished image resistant finished picture smudging water damage found although ink printer cost per millilitre still cheaper produce print photograph home send high street store really like photo definitely worth printing home instead going high street choose right printer said nick ross top tester pc pro mr ross said new generation printer produced image brighter colour less likely fade many high street developer even professional wedding photographer high street photo shop cheapest came developing print x said mr ross test revealed image x x size cheaper produce home according pc pro producing print x epson r printer using top quality paper cost jessops image would cost snappy snap x snap boot would cost considering inconvenient go high street silver halide print fade sun adamant better cheaper convenient print home said ann simpson marketing manager snappy snap belief convenience high street printing continue attract customer people want thing computer feedback u customer often print two three picture home order get good one said many people not skilled getting colour contrast cropping right want hassle added magazine test found ink consumer use determined long print lasted started fading recommended avoiding called third party ink not produced printer maker tended produce print fade quickest
synthetic,actor_7,2025-01-01,victoria beckham bag size causing injury imitator say expert want avoid future pain american chiropractic association suggests limit bag weight no
synthetic,actor_7,2025-01-01,quickest way give raise pay debt account regain control finance like plugging hole bucket able use money see fit no siphoning away hard earned money
synthetic,actor_7,2025-01-01,actual scientist found ayahuasca help think creatively psychedelic trip could give mind flexibility unlock old thought pattern
synthetic,actor_7,2025-01-01,christmas sale amazon walmart offer last minute deal photo last minute shopper rejoice
synthetic,actor_7,2025-01-01,mayor schaaf response oakland fire total disaster word showed stunning lack empathy
synthetic,actor_7,2025-01-01,gop leader unhappy flood money politics campaign event senate hopeful joni ernst de moines thursday sen lindsey graham r sc told unhappy citizen united would revisit landmark supreme court decision make balanced however graham not think action happen without movement
synthetic,actor_7,2025-01-01,fashion show honored grandma lucy growing grandmother one important people life self taught sewing dynamo without formal training no sewing project difficult lucy
synthetic,actor_7,2025-01-01,surprising thing insurance not cover insurance provide safety net individual worry property purchase however insurance policy come long list exclusion leave policyholder cold unforeseen happens
synthetic,actor_7,2025-01-01,eddie huang say sexually assaulted teen baptist ski trip never ready never think would happen happening kept going said
synthetic,actor_7,2025-01-01,conversation designer dennis basso basso talk love importance friend great haircut must whether woman man
synthetic,actor_7,2025-01-01,travel anywhere not get killed maimed checking not nice place turn light room shut door check peep hole happened one slowly get mace spray hole leaving easy way tell peeping
synthetic,actor_7,2025-01-01,trick company commonly use scam employee worked corporate america likely familiar scam employer use screw employee article necessarily article recent college grad anyone matter new workforce getting first real job
synthetic,actor_7,2025-01-01,gal gadot seemingly innocent tribute stephen hawking pissed people several disability right advocate called ableist
synthetic,actor_7,2025-01-01,chanel native american headdress runway raise eyebrow photo updated update fashionista obtained statement chanel native american integral part texas rich history culture
synthetic,actor_7,2025-01-01,wonder world photo lady man martini connoisseur british secret service agent extraordinaire bond not famous spy majesty payroll also one world celebrated jetsetters
synthetic,actor_7,2025-01-01,q reigning scrabble champion reveals favorite letter fun trick embarrassing story think people little shortsighted
synthetic,actor_7,2025-01-01,world oldest rock found contain key building block life
synthetic,actor_7,2025-01-01,trillion bacteria make human microbiome biologist say good thing tell exact date began think first person plural superorganism rather
synthetic,actor_8,2025-01-01,new chair senate indian affair committee wanted dapl protest shut sen john hoeven odd choice job dedicated helping native american community
synthetic,actor_8,2025-01-01,might cost bit get door costco investor predict fee hike
synthetic,actor_8,2025-01-01,state next legalize marijuana
synthetic,actor_8,2025-01-01,phil ochs concert resurfaces phil glad see hardly week pass think man could really use new phil ochs album friday got one
synthetic,actor_8,2025-01-01,steve scalise move intensive care unit gop whip remains fair condition shot hip last week
synthetic,actor_8,2025-01-01,apple submits brief opposing u government unprecedented iphone request tech giant argued government request violates company first amendment right
synthetic,actor_8,2025-01-01,ucla basketball player arrested china shoplifting charge one liangelo ball brother lakers rookie lonzo ball son outspoken sport dad lavar ball
synthetic,actor_8,2025-01-01,nfl ready michael sam
synthetic,actor_8,2025-01-01,foreclosure spell financial demise latino middle class crisis faced latino homeowner involves housing majority wealth tied home foreclosed latino lose equity needed future
synthetic,actor_8,2025-01-01,kristen stewart really f king proud twilight
synthetic,actor_8,2025-01-01,game firm hold cast audition video game firm bioware hold open audition people become cast member future game company make role playing game knight old republic neverwinter night seeking people aged canada based company say looking wide variety people use face model character everyone chosen appear video game receive performer fee use image company inviting people come along shopping mall west edmonton alberta friday saturday bringing along piece photo identification hundred hundred character typical bioware game said shauna perry bioware audio external resource producer people live city village need ordinary people people interesting face added not everyone model world want model game people chosen appear game head scanned three dimension hundred photo person head taken model head generated model look exactly like person really quite incredible detailed said m perry said chosen participant no control image used computer game not give people control image used face could used multiple game could hero one villain another merchant third
synthetic,actor_8,2025-01-01,john boehner dhs shutdown would bad could happen
synthetic,actor_8,2025-01-01,video game could change business school forever actually fun got test new game supposed better teaching strategy professor found
synthetic,actor_8,2025-01-01,abortion seen tv even significant post election fictional real life option woman align
synthetic,actor_8,2025-01-01,men care diversity boardroom many boy boy club seem ok status quo
synthetic,actor_8,2025-01-01,incredible story america saved national treasure extinction creature world majestic bald eagle part reason animal
synthetic,actor_8,2025-01-01,job unique state
synthetic,actor_8,2025-01-01,american woman getting sleep men woman get average minute sleep nightly according study jawbone
synthetic,actor_8,2025-01-01,science backed trick get annoying song head
synthetic,actor_8,2025-01-01,samsung unveiled thinnest phone ever hot damn thing thin
synthetic,actor_1,2025-01-08,uber begin testing fleet self driving car pittsburgh month vehicle see regular public use
synthetic,actor_1,2025-01-08,supreme court almost ruled stun gun protected second amendment justice samuel alito clarence thomas would gone
synthetic,actor_1,2025-01-08,carrie lam say hong kong violence becoming serious government control hong kong chief executive spoke public first time since demonstration escalated sunday
synthetic,actor_1,2025-01-08,sarah sander gleeful cnn guest white house christmas party christmas come early wrote white house press secretary
synthetic,actor_1,2025-01-08,nonsensical claim donald trump latest interview badly president not
synthetic,actor_1,2025-01-08,gop head south carolina dirty trick start run big presidential campaign moment big medium player iowa new hampshire gave voter useful
synthetic,actor_1,2025-01-08,republican debate show candidate stop trump lack courage criticize even encouraging assault
synthetic,actor_1,2025-01-08,reuters journalist charged myanmar reporting rohingya crisis men face year jail found guilty violating nation official secret act
synthetic,actor_1,2025-01-08,spain prime minister say sack catalonia government call regional election mariano rajoy said government taken unprecedented decision restore law
synthetic,actor_1,2025-01-08,obama say trump unfit serve president asked top gop leader still endorsing real estate mogul
synthetic,actor_1,2025-01-08,roy moore say gay marriage ruling even worse pro slavery decision alabama candidate u senate show contempt sex marriage
synthetic,actor_1,2025-01-08,pete buttigieg reveals new plan expand right people disability proposal include ending minimum wage loophole improving education disabled student implementing social security reform
synthetic,actor_1,2025-01-08,impeachment process remains limbo senate negotiates trial house speaker nancy pelosi holding sending article impeachment senate democrat know trial look like
synthetic,actor_1,2025-01-08,goodnight trumpcare degree yesterday vega rally outside sen dean heller office good thing republican assured
synthetic,actor_1,2025-01-08,rep adam schiff gop fbi memo could lead constitutional crisis democrat blame house speaker paul ryan allowing republican carry conspiracy theory
synthetic,actor_1,2025-01-08,senate democrat call union buster
synthetic,actor_1,2025-01-08,huffpollster ted cruz probably defeat donald trump indiana trump chance securing nomination increasing
synthetic,actor_1,2025-01-08,business order three way sequence marketing business development many business fail despite right stuff marketing business development strategy order sync organization goal objective
synthetic,actor_1,2025-01-08,slow recovery continues recovery continues remains weak indeed bit weaker forecast april revised forecast world growth percent april percent today headline number make thing look worse really
synthetic,actor_1,2025-01-08,joe arpaio insists asked donald trump pardon disgraced sheriff say offered say no
synthetic,actor_2,2025-01-08,arizona gop trump painting reminds twitter user famous traitor benedict arnold state republican party probably never pictured response portrait generated
synthetic,actor_2,2025-01-08,haunting halloween nightmare left right hillary clinton turn one refuse concede night election demand recount everywhere even recount however becomes apparent lost donald j trump next president
synthetic,actor_2,2025-01-08,clinton aide traveling puerto rico zika meeting puerto rico confirmed case zika
synthetic,actor_2,2025-01-08,donald trump true populist might look like truth living self constructed trump bubble
synthetic,actor_2,2025-01-08,one year trump style stress test global alliance trump left u ally nervous america global competitor gain serious ground
synthetic,actor_2,2025-01-08,indefinite shutdown kashmir internet illegal india top court india supreme court ordered government review curb kashmir saying freedom internet access fundamental right
synthetic,actor_2,2025-01-08,trump assault rule law previously published boston globe faced james comey testimony president trump defender beckon u
synthetic,actor_2,2025-01-08,wounded knee moon popping tree twenty three soldier th cavalry awarded nation highest honor medal honor murder nearly innocent unarmed men woman child
synthetic,actor_2,2025-01-08,climate change drive domestic violence fiji island nation fiji one world highest rate domestic violence climate change disaster making
synthetic,actor_2,2025-01-08,republican failed repeal obamacare get party never able unify behind idea new plan
synthetic,actor_2,2025-01-08,tim kaine rip donald trump picking fight ally making ally nervous trying appease adversary
synthetic,actor_2,2025-01-08,dnc guy target james comey long joke everyone comedian
synthetic,actor_2,2025-01-08,big check power jeb bush super pac unreal money haul bush got donor gave million apiece help family
synthetic,actor_2,2025-01-08,meet man track digital footprint missing central american migrant
