content_raw,content_clean,account_type,account_category,source_file,provisional_label,keyword_hits,strong_hits,medium_hits,reject_hits,match_score,final_label,review_decision,review_notes
RT AnnRoss97466497: WRDesilvey DebAlwaystrump Hold Congress/Senate responsible at voting booth. Heartland  knows t… https://t.co/52ctiSbC5g,RT AnnRoss97466497: WRDesilvey DebAlwaystrump Hold Congress/Senate responsible at voting booth. Heartland knows t…,Right,RightTroll,IRAhandle_tweets_3.csv,Politics & Governance,"['\\bvoting\\b', '\\bsenate\\b', '\\bcongress\\b']","['\\bvoting\\b', '\\bsenate\\b', '\\bcongress\\b']",[],[],30,,,
I hate that NY doesn't have early voting as far as I know. I want to vote NOW! So over this damned election…,I hate that NY doesn't have early voting as far as I know. I want to vote NOW! So over this damned election…,left,LeftTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']","['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']",[],[],30,,,
Brazil Supreme Court rejects government bid to suspend impeachment vote  #world #news,Brazil Supreme Court rejects government bid to suspend impeachment vote #world #news,news,NewsFeed,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bgovernment\\b', '\\bsupreme court\\b']","['\\bvote\\b', '\\bgovernment\\b', '\\bsupreme court\\b']",[],[],30,,,
I was part of the 30 MILLION #WomanMarch on Nov 8th.  We marched our asses into the voting booth 2 vote @realDonaldTrump 4 PRESIDENT of USA!,I was part of the 30 MILLION #WomanMarch on Nov 8th. We marched our asses into the voting booth 2 vote 4 PRESIDENT of USA!,Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\bvote\\b', '\\bvoting\\b', '\\bpresident\\b']","['\\bvote\\b', '\\bvoting\\b', '\\bpresident\\b']",[],[],30,,,
If the senate approves Tillerson but couldn't even vote on a 9th justice on the SCOTUS it'll be even more clear that democracy has fallen.,If the senate approves Tillerson but couldn't even vote on a 9th justice on the SCOTUS it'll be even more clear that democracy has fallen.,left,LeftTroll,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bvote\\b', '\\bsenate\\b', '\\bdemocracy\\b']","['\\bvote\\b', '\\bsenate\\b', '\\bdemocracy\\b']",[],[],30,,,
"Him: These Roy Moore voters are a disgrace. Some things are bigger than politics.  Me: So I assume you wouldn't vote for credibly-accused rapist Bill Clinton if he ran for president again against, say, Ted Cruz? Right?  Him: ...  WATCH: https://t.co/SonE7SmB89","Him: These Roy Moore voters are a disgrace. Some things are bigger than politics. Me: So I assume you wouldn't vote for credibly-accused rapist Bill Clinton if he ran for president again against, say, Ted Cruz? Right? Him: ... WATCH:",Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bvote\\b', '\\bvoters\\b', '\\bpresident\\b']","['\\bvote\\b', '\\bvoters\\b', '\\bpresident\\b']",[],[],30,,,
98% of Trump voters don't regret voting for him.  2% of Hillary voter say they should have voted Trump instead. That says a lot.,98% of Trump voters don't regret voting for him. 2% of Hillary voter say they should have voted Trump instead. That says a lot.,Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\bvoting\\b', '\\bvoter\\b', '\\bvoters\\b', '\\btrump\\b']","['\\bvoting\\b', '\\bvoter\\b', '\\bvoters\\b']",['\\btrump\\b'],[],32,,,
VIDEO : President Trump Meets With “Anti-Brexit” UK Prime Minister Theresa May https://t.co/6Ez0eetbt4 https://t.co/Pz8vhQYOJn,VIDEO : President Trump Meets With “Anti-Brexit” UK Prime Minister Theresa May,Right,RightTroll,IRAhandle_tweets_8.csv,Politics & Governance,"['\\bpresident\\b', '\\bprime minister\\b', '\\bbrexit\\b', '\\btrump\\b']","['\\bpresident\\b', '\\bprime minister\\b', '\\bbrexit\\b']",['\\btrump\\b'],[],32,,,
The UK Supreme Court rules government must hold a vote before triggering the exit process from the EU For more go to https://t.co/lWVaR2Qca6 https://t.co/E1xM0kz36w,The UK Supreme Court rules government must hold a vote before triggering the exit process from the EU For more go to,left,LeftTroll,IRAhandle_tweets_6.csv,Politics & Governance,"['\\bvote\\b', '\\bgovernment\\b', '\\bsupreme court\\b']","['\\bvote\\b', '\\bgovernment\\b', '\\bsupreme court\\b']",[],[],30,,,
Voter registration ends Tuesday in Ohio for the Nov. 8 election. Early voting starts Wednesday. https://t.co/OWK0jPoo9c #politics,Voter registration ends Tuesday in Ohio for the Nov. 8 election. Early voting starts Wednesday. #politics,local,NewsFeed,IRAhandle_tweets_6.csv,Politics & Governance,"['\\belection\\b', '\\bvoting\\b', '\\bvoter\\b']","['\\belection\\b', '\\bvoting\\b', '\\bvoter\\b']",[],[],30,,,
#SCOTUS blocked Obama's immigration amnesty with 4-4 vote! Another reason why we need republican president to secure conservative SCOTUS!,#SCOTUS blocked Obama's immigration amnesty with 4-4 vote! Another reason why we need republican president to secure conservative SCOTUS!,Right,RightTroll,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bpresident\\b', '\\bimmigration\\b', '\\bobama\\b']","['\\bvote\\b', '\\bpresident\\b', '\\bimmigration\\b']",['\\bobama\\b'],[],32,,,
British Member Of Parliament Accuses Russia Of Manipulating Brexit Vote https://t.co/20JtAfLo95 https://t.co/zyHN5063Dk,British Member Of Parliament Accuses Russia Of Manipulating Brexit Vote,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bvote\\b', '\\bparliament\\b', '\\bbrexit\\b', '\\brussia\\b']","['\\bvote\\b', '\\bparliament\\b', '\\bbrexit\\b']",['\\brussia\\b'],[],32,,,
"Myanmar president says army, government will respect election results  #world #news","Myanmar president says army, government will respect election results #world #news",news,NewsFeed,IRAhandle_tweets_7.csv,Politics & Governance,"['\\belection\\b', '\\bgovernment\\b', '\\bpresident\\b']","['\\belection\\b', '\\bgovernment\\b', '\\bpresident\\b']",[],[],30,,,
Catalan government calls confidence vote for separatist president  #world #news,Catalan government calls confidence vote for separatist president #world #news,news,NewsFeed,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bgovernment\\b', '\\bpresident\\b']","['\\bvote\\b', '\\bgovernment\\b', '\\bpresident\\b']",[],[],30,,,
RNC Chair Chair Ronna Romney McDaniel: Republican Voters Demand Congress ‘Support This President’ https://t.co/YiNaonacCx,RNC Chair Chair Ronna Romney McDaniel: Republican Voters Demand Congress ‘Support This President’,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bvoters\\b', '\\bcongress\\b', '\\bpresident\\b']","['\\bvoters\\b', '\\bcongress\\b', '\\bpresident\\b']",[],[],30,,,
RR RT JudicialWatch: JW believes that dirty voter rolls can mean dirty elections. Learn about JW's new election in… https://t.co/BxpihhqSnU,RR RT JudicialWatch: JW believes that dirty voter rolls can mean dirty elections. Learn about JW's new election in…,Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\belection\\b', '\\belections\\b', '\\bvoter\\b']","['\\belection\\b', '\\belections\\b', '\\bvoter\\b']",[],[],30,,,
Exit polls: President Vladimir Putin's United Russia party wins Russia's parliamentary elections with 44.5% of vote https://t.co/ulU6nXqeFC,Exit polls: President Vladimir Putin's United Russia party wins Russia's parliamentary elections with 44.5% of vote,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belections\\b', '\\bvote\\b', '\\bpresident\\b', '\\brussia\\b', '\\bputin\\b']","['\\belections\\b', '\\bvote\\b', '\\bpresident\\b']","['\\brussia\\b', '\\bputin\\b']",[],34,,,
Here is the correct link to big speech on the election integrity crisis and immigration.  Voter fraud is THE civil rights issue.  https://t.co/Sa91EBPldj https://t.co/oNqTp37KLR,Here is the correct link to big speech on the election integrity crisis and immigration. Voter fraud is THE civil rights issue.,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bvoter\\b', '\\bimmigration\\b']","['\\belection\\b', '\\bvoter\\b', '\\bimmigration\\b']",[],[],30,,,
President Trump should pass an executive orders requiring all government employees including Congress be covered by Obamacare. #cashinin,President Trump should pass an executive orders requiring all government employees including Congress be covered by Obamacare. #cashinin,Right,RightTroll,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bcongress\\b', '\\bgovernment\\b', '\\bpresident\\b', '\\btrump\\b']","['\\bcongress\\b', '\\bgovernment\\b', '\\bpresident\\b']",['\\btrump\\b'],[],32,,,
Obama thinks he would have won against Trump in this election. So what does Twitter think? Who would you rather have as President? Vote RT,Obama thinks he would have won against Trump in this election. So what does Twitter think? Who would you rather have as President? Vote RT,Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bpresident\\b', '\\bobama\\b', '\\btrump\\b']","['\\belection\\b', '\\bvote\\b', '\\bpresident\\b']","['\\bobama\\b', '\\btrump\\b']",[],34,,,
#Liberals in #Congress (Senate &amp; House) r DRAGGING their A$$ES on #Trumprussia just 2 keep it alive till 2018 &amp; 2020 Elections. #SnowFlakes.,#Liberals in #Congress (Senate and House) r DRAGGING their A$$ES on #Trumprussia just 2 keep it alive till 2018 and 2020 Elections. #SnowFlakes.,Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belections\\b', '\\bsenate\\b', '\\bcongress\\b']","['\\belections\\b', '\\bsenate\\b', '\\bcongress\\b']",[],[],30,,,
Will #Immigrant Voters in the South Make Their Voices Heard This Election? https://t.co/rp7HdQPiDc #voting @allieyee_nc,Will #Immigrant Voters in the South Make Their Voices Heard This Election? #voting,left,LeftTroll,IRAhandle_tweets_1.csv,Politics & Governance,"['\\belection\\b', '\\bvoting\\b', '\\bvoters\\b']","['\\belection\\b', '\\bvoting\\b', '\\bvoters\\b']",[],[],30,,,
RT chasin_dwight: #SpecialReport The President has tried to do a lot. It's his own congress &amp; senate holding him back. VOTE THEM OUT,RT chasin_dwight: #SpecialReport The President has tried to do a lot. It's his own congress and senate holding him back. VOTE THEM OUT,Right,RightTroll,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bvote\\b', '\\bsenate\\b', '\\bcongress\\b', '\\bpresident\\b']","['\\bvote\\b', '\\bsenate\\b', '\\bcongress\\b', '\\bpresident\\b']",[],[],40,,,
"'It's bull crap' Kasich won, Trump voter says: Ohio votes: Ohio voters react to results from the primary election.  #Cleveland #politics","'It's bull crap' Kasich won, Trump voter says: Ohio votes: Ohio voters react to results from the primary election. #Cleveland #politics",local,NewsFeed,IRAhandle_tweets_6.csv,Politics & Governance,"['\\belection\\b', '\\bvoter\\b', '\\bvoters\\b', '\\btrump\\b']","['\\belection\\b', '\\bvoter\\b', '\\bvoters\\b']",['\\btrump\\b'],[],32,,,
Curated HedgeBz \| How President Trump’s Immigration Reform Could Get Past Congress https://t.co/xuYsFhsCCa,Curated HedgeBz \| How President Trump’s Immigration Reform Could Get Past Congress,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bcongress\\b', '\\bpresident\\b', '\\bimmigration\\b', '\\btrump\\b']","['\\bcongress\\b', '\\bpresident\\b', '\\bimmigration\\b']",['\\btrump\\b'],[],32,,,
"Wanna-be dictator Trump today: ""I'm calling on Congress to give me a line item veto for all government spending bills.""   The Supreme Court ruled line item vetos unconstitutional in 1998.","Wanna-be dictator Trump today: ""I'm calling on Congress to give me a line item veto for all government spending bills."" The Supreme Court ruled line item vetos unconstitutional in 1998.",left,LeftTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\bcongress\\b', '\\bgovernment\\b', '\\bsupreme court\\b', '\\btrump\\b']","['\\bcongress\\b', '\\bgovernment\\b', '\\bsupreme court\\b']",['\\btrump\\b'],[],32,,,
"""I'm 60 years old and this is the most important election in my lifetime. Im voting for Donald Trump"" Hillary voters don't have such energy! https://t.co/OAWnAgsIW4","""I'm 60 years old and this is the most important election in my lifetime. Im voting for Donald Trump"" Hillary voters don't have such energy!",Right,RightTroll,IRAhandle_tweets_6.csv,Politics & Governance,"['\\belection\\b', '\\bvoting\\b', '\\bvoters\\b', '\\btrump\\b']","['\\belection\\b', '\\bvoting\\b', '\\bvoters\\b']",['\\btrump\\b'],[],32,,,
#top RT ChooseToBFree: Border patrol union head: Illegal immigration under President Trump seeing ‘miraculous’ DRO… https://t.co/ubmCcxFpk8,#top RT ChooseToBFree: Border patrol union head: Illegal immigration under President Trump seeing ‘miraculous’ DRO…,Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\bpresident\\b', '\\bimmigration\\b', '\\bborder\\b', '\\btrump\\b']","['\\bpresident\\b', '\\bimmigration\\b', '\\bborder\\b']",['\\btrump\\b'],[],32,,,
Australian government commits to gay marriage vote this year if it wins election  #world #news,Australian government commits to gay marriage vote this year if it wins election #world #news,news,NewsFeed,IRAhandle_tweets_7.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bgovernment\\b']","['\\belection\\b', '\\bvote\\b', '\\bgovernment\\b']",[],[],30,,,
"RT DrJillStein: Clinton + Trump: Want democracy? Develop publicly-owned, open-source voting equipment to ensure transparent, fair elections.","RT DrJillStein: Clinton + Trump: Want democracy? Develop publicly-owned, open-source voting equipment to ensure transparent, fair elections.",Right,RightTroll,IRAhandle_tweets_3.csv,Politics & Governance,"['\\belections\\b', '\\bvoting\\b', '\\bdemocracy\\b', '\\btrump\\b']","['\\belections\\b', '\\bvoting\\b', '\\bdemocracy\\b']",['\\btrump\\b'],[],32,,,
#top 🇺🇸 Voter Registration Alert Midterm Elections Coming Soon🇺🇸Register To Vote Now! POTUS Needs All Pro Trump Ca… https://t.co/QUPdRHDGaK,#top 🇺🇸 Voter Registration Alert Midterm Elections Coming Soon🇺🇸Register To Vote Now! POTUS Needs All Pro Trump Ca…,Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\belections\\b', '\\bvote\\b', '\\bvoter\\b', '\\btrump\\b']","['\\belections\\b', '\\bvote\\b', '\\bvoter\\b']",['\\btrump\\b'],[],32,,,
"Lol “The Democratic Party lost not only the presidential elections, but elections in the Senate and Congress .Is that also my work?” Putin","Lol “The Democratic Party lost not only the presidential elections, but elections in the Senate and Congress .Is that also my work?” Putin",Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belections\\b', '\\bsenate\\b', '\\bcongress\\b', '\\bputin\\b']","['\\belections\\b', '\\bsenate\\b', '\\bcongress\\b']",['\\bputin\\b'],[],32,,,
"If today is Election Day, who would you vote for the next President of the United States?","If today is Election Day, who would you vote for the next President of the United States?",Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bpresident\\b']","['\\belection\\b', '\\bvote\\b', '\\bpresident\\b']",[],[],30,,,
Election-year clash on immigration heads to Supreme Court https://t.co/nMZjvskjvB #news,Election-year clash on immigration heads to Supreme Court #news,local,NewsFeed,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bsupreme court\\b', '\\bimmigration\\b']","['\\belection\\b', '\\bsupreme court\\b', '\\bimmigration\\b']",[],[],30,,,
"Cambridge Analytica stole data from Facebook to help the Trump campaign &amp; the Brexit vote. @Facebook suspended it yesterday. 16 months after the election... Wow! They finally realized that having traitorous ""friends"" is bad for business!","Cambridge Analytica stole data from Facebook to help the Trump campaign and the Brexit vote. suspended it yesterday. 16 months after the election... Wow! They finally realized that having traitorous ""friends"" is bad for business!",left,LeftTroll,IRAhandle_tweets_8.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bbrexit\\b', '\\btrump\\b']","['\\belection\\b', '\\bvote\\b', '\\bbrexit\\b']",['\\btrump\\b'],[],32,,,
Hillary's too stupid to campaign for the electoral vote in an electoral vote election and this fool wanted her to be president?  #MAGA https://t.co/A4hKpqePGs,Hillary's too stupid to campaign for the electoral vote in an electoral vote election and this fool wanted her to be president? #MAGA,Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bpresident\\b']","['\\belection\\b', '\\bvote\\b', '\\bpresident\\b']",[],[],30,,,
"RT vadpradub: Vote for Judge ROY MOORE for Senate Aug 15,2017 Primary Election Support Judge Moore MooreSenate  #R… https://t.co/EWBFxLAj41","RT vadpradub: Vote for Judge ROY MOORE for Senate Aug 15,2017 Primary Election Support Judge Moore MooreSenate #R…",Right,RightTroll,IRAhandle_tweets_3.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bsenate\\b']","['\\belection\\b', '\\bvote\\b', '\\bsenate\\b']",[],[],30,,,
Brexit Supreme Court ruling: Government prepares for spike in hate crimes upon verdict - The… https://t.co/dNi9GbGcha #hoodienocrime,Brexit Supreme Court ruling: Government prepares for spike in hate crimes upon verdict - The… #hoodienocrime,left,LeftTroll,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bgovernment\\b', '\\bsupreme court\\b', '\\bbrexit\\b']","['\\bgovernment\\b', '\\bsupreme court\\b', '\\bbrexit\\b']",[],[],30,,,
"Citizenship cannot be stripped away, not by Congress or the president, in this democracy https://t.co/QdXGb6DCeK https://t.co/YVP5PxL2S8","Citizenship cannot be stripped away, not by Congress or the president, in this democracy",left,LeftTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\bcongress\\b', '\\bpresident\\b', '\\bdemocracy\\b']","['\\bcongress\\b', '\\bpresident\\b', '\\bdemocracy\\b']",[],[],30,,,
"'@realDonaldTrump @CHIZMAGA 1. The White House, the Senate and the House are not the three branches of government. 2. Obama wasn't president in 2008. 3. DACA didn't exist until 2012. But I'm sure your base believes every single word of your tweet is true, because they are as ""smart"" as you. 😂😂😂'","' 1. The White House, the Senate and the House are not the three branches of government. 2. Obama wasn't president in 2008. 3. DACA didn't exist until 2012. But I'm sure your base believes every single word of your tweet is true, because they are as ""smart"" as you. 😂😂😂'",Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\bsenate\\b', '\\bgovernment\\b', '\\bpresident\\b', '\\bobama\\b']","['\\bsenate\\b', '\\bgovernment\\b', '\\bpresident\\b']",['\\bobama\\b'],[],32,,,
Protests in Kosovo ahead of parliament's vote on border deal  #world #news,Protests in Kosovo ahead of parliament's vote on border deal #world #news,news,NewsFeed,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bparliament\\b', '\\bborder\\b']","['\\bvote\\b', '\\bparliament\\b', '\\bborder\\b']",[],[],30,,,
Portugal parliament to vote on new government's program November 10 or 11  #world #news,Portugal parliament to vote on new government's program November 10 or 11 #world #news,news,NewsFeed,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bparliament\\b', '\\bgovernment\\b']","['\\bvote\\b', '\\bparliament\\b', '\\bgovernment\\b']",[],[],30,,,
".@MBCompanyMan on U.N. voting 15-0 on new, stronger North Korea sanctions: ""President Obama would have received another Nobel Peace Prize."" https://t.co/UGphX7sHNX",". on U.N. voting 15-0 on new, stronger North Korea sanctions: ""President Obama would have received another Nobel Peace Prize.""",Right,RightTroll,IRAhandle_tweets_6.csv,Politics & Governance,"['\\bvoting\\b', '\\bpresident\\b', '\\bsanctions\\b', '\\bobama\\b']","['\\bvoting\\b', '\\bpresident\\b', '\\bsanctions\\b']",['\\bobama\\b'],[],32,,,
VOTER FRAUD IN PENNSYLVANIA! Voting Machine Refuses To Let A Man Vote For Donald Trump! RT! This is corruption!! https://t.co/P59uOukwPt,VOTER FRAUD IN PENNSYLVANIA! Voting Machine Refuses To Let A Man Vote For Donald Trump! RT! This is corruption!!,Right,RightTroll,IRAhandle_tweets_6.csv,Politics & Governance,"['\\bvote\\b', '\\bvoting\\b', '\\bvoter\\b', '\\btrump\\b']","['\\bvote\\b', '\\bvoting\\b', '\\bvoter\\b']",['\\btrump\\b'],[],32,,,
I can't vote in my local election because our ballots were sent to wrong town. Voters turned away at polls. Another St Louis election mess.,I can't vote in my local election because our ballots were sent to wrong town. Voters turned away at polls. Another St Louis election mess.,left,LeftTroll,IRAhandle_tweets_3.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bvoters\\b']","['\\belection\\b', '\\bvote\\b', '\\bvoters\\b']",[],[],30,,,
#Russian president Vladimir Putin resisted to expel #US diplomats in response to a new round of US-election-related sanctions against Russia https://t.co/1ZguJKdL8Q,#Russian president Vladimir Putin resisted to expel #US diplomats in response to a new round of US-election-related sanctions against Russia,news,NewsFeed,IRAhandle_tweets_8.csv,Politics & Governance,"['\\belection\\b', '\\bpresident\\b', '\\bsanctions\\b', '\\brussia\\b', '\\bputin\\b']","['\\belection\\b', '\\bpresident\\b', '\\bsanctions\\b']","['\\brussia\\b', '\\bputin\\b']",[],34,,,
"FLORIDA Public School Teacher Bans Students from Wearing Cross, Calls it ""Gang Symbol"" She has no right to do this  https://t.co/U7fKNqGFU1","FLORIDA Public School Teacher Bans Students from Wearing Cross, Calls it ""Gang Symbol"" She has no right to do this",Right,RightTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
