content_raw,content_clean,language,account_type,account_category,post_type,retweet,source_file,provisional_label,keyword_hits,strong_hits,medium_hits,reject_hits,strong_hit_count,medium_hit_count,reject_hit_count,match_score,final_label,review_decision,review_notes
"Cabinet discusses economic and services issues, prices in markets, SYP exchange rate https://t.co/NucflnuimQ","Cabinet discusses economic and services issues, prices in markets, SYP exchange rate",English,news,NewsFeed,,0,IRAhandle_tweets_8.csv,Economy & Business,"['\\beconomic\\b', '\\bmarkets\\b', '\\bprices\\b', '\\brate\\b']","['\\beconomic\\b', '\\bmarkets\\b', '\\bprices\\b']",['\\brate\\b'],[],3,1,0,38,,,
US stocks tumble as energy companies fall with oil prices  #business,US stocks tumble as energy companies fall with oil prices #business,English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Economy & Business,"['\\bbusiness\\b', '\\bstocks\\b', '\\bprices\\b', '\\bcompanies\\b']","['\\bbusiness\\b', '\\bstocks\\b', '\\bprices\\b']",['\\bcompanies\\b'],[],3,1,0,36,,,
Stock sale nets EdR $215 million  #business,Stock sale nets EdR $215 million #business,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Economy & Business,"['\\bbusiness\\b', '\\bstock\\b', '\\bsale\\b', '\\bmillion\\b']","['\\bbusiness\\b', '\\bstock\\b', '\\bsale\\b']",['\\bmillion\\b'],[],3,1,0,36,,,
"U.S. Economy adds 223,000 jobs in June as jobless rate drops to 5.3%  #business","U.S. Economy adds 223,000 jobs in June as jobless rate drops to 5.3% #business",English,local,NewsFeed,,0,IRAhandle_tweets_5.csv,Economy & Business,"['\\beconomy\\b', '\\bbusiness\\b', '\\bjobs\\b', '\\brate\\b']","['\\beconomy\\b', '\\bbusiness\\b', '\\bjobs\\b']",['\\brate\\b'],[],3,1,0,36,,,
"Brexit vote was advisory so Parliament must decide, lawyers tell PM  #world #news","Brexit vote was advisory so Parliament must decide, lawyers tell PM #world #news",English,news,NewsFeed,,0,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bparliament\\b', '\\bbrexit\\b']","['\\bvote\\b', '\\bparliament\\b', '\\bbrexit\\b']",[],[],3,0,0,35,,,
Brazil's Senate set for vote that will likely suspend President Rousseff from office  #world #news,Brazil's Senate set for vote that will likely suspend President Rousseff from office #world #news,English,news,NewsFeed,,0,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bpresident\\b', '\\bsenate\\b']","['\\bvote\\b', '\\bpresident\\b', '\\bsenate\\b']",[],[],3,0,0,35,,,
14-year-old student arrested for chasing students with knife at school in Union City  #news,14-year-old student arrested for chasing students with knife at school in Union City #news,English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']",[],[],3,0,0,35,,,
Maricopa County will have all-mail voting in the November election. Here's how to vote https://t.co/1Kxx2mYwtw https://t.co/TjbtPJduhy,Maricopa County will have all-mail voting in the November election. Here's how to vote,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']","['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']",[],[],3,0,0,34,,,
"I really worry when people say they're not voting for anyone this election.. Either way the outcome goes, your vote still makes a difference","I really worry when people say they're not voting for anyone this election.. Either way the outcome goes, your vote still makes a difference",English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_8.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']","['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']",[],[],3,0,0,34,,,
"Houston votes to join other Texas cities in lawsuit over new immigration law, Senate Bill 4 https://t.co/qx7TDJ6QQU https://t.co/tqWUuwQwJb","Houston votes to join other Texas cities in lawsuit over new immigration law, Senate Bill 4",English,local,NewsFeed,,0,IRAhandle_tweets_3.csv,Politics & Governance,"['\\bvotes\\b', '\\bsenate\\b', '\\bimmigration\\b']","['\\bvotes\\b', '\\bsenate\\b', '\\bimmigration\\b']",[],[],3,0,0,34,,,
She is the rightful President of the United States. This election was stolen from her though she won by 3 million votes anyway. https://t.co/qtUDudu6Sw,She is the rightful President of the United States. This election was stolen from her though she won by 3 million votes anyway.,English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bvotes\\b', '\\bpresident\\b']","['\\belection\\b', '\\bvotes\\b', '\\bpresident\\b']",[],[],3,0,0,34,,,
"""@THEREALMOGUL: 41% of American voters believe the  election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico""",""" : 41% of American voters believe the election could be ""stolen"" from DonaldTrump due to widespread voter fraud. - Politico""",English,Hashtager,HashtagGamer,RETWEET,1,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bvoter\\b', '\\bvoters\\b']","['\\belection\\b', '\\bvoter\\b', '\\bvoters\\b']",[],[],3,0,0,34,,,
Have questions about voting?  Call the Election Protection Hotline--  866-OUR-VOTE. https://t.co/T9Gl658tQ0,Have questions about voting? Call the Election Protection Hotline-- 866-OUR-VOTE.,English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_1.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']","['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']",[],[],3,0,0,34,,,
"'@TEDxMaitama No election on the day, so his supporters and prospective voters left the venue of the initially proposed elections.'","' No election on the day, so his supporters and prospective voters left the venue of the initially proposed elections.'",English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_7.csv,Politics & Governance,"['\\belection\\b', '\\belections\\b', '\\bvoters\\b']","['\\belection\\b', '\\belections\\b', '\\bvoters\\b']",[],[],3,0,0,34,,,
"Two months from #French presidential election, voters poised to punish establishment for destructive #immigration:  https://t.co/UPqUItQyTz","Two months from #French presidential election, voters poised to punish establishment for destructive #immigration:",English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvoters\\b', '\\bimmigration\\b']","['\\belection\\b', '\\bvoters\\b', '\\bimmigration\\b']",[],[],3,0,0,34,,,
"Democrats stall voter ID bill in the Missouri Senate again, vote delayed once more  #StLouis","Democrats stall voter ID bill in the Missouri Senate again, vote delayed once more #StLouis",English,local,NewsFeed,,0,IRAhandle_tweets_8.csv,Politics & Governance,"['\\bvoter\\b', '\\bvote\\b', '\\bsenate\\b']","['\\bvoter\\b', '\\bvote\\b', '\\bsenate\\b']",[],[],3,0,0,34,,,
We need to vote in 2016 Election. Vote for the Republicans in Congress too. Clean up Congress https://t.co/hBod4YJ1va,We need to vote in 2016 Election. Vote for the Republicans in Congress too. Clean up Congress,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_3.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bcongress\\b']","['\\belection\\b', '\\bvote\\b', '\\bcongress\\b']",[],[],3,0,0,34,,,
Less than one hour until vote on @RepTomPrice. Every Senator who votes for him is voting to destroy Medicare:  https://t.co/joG8P0XgQF,Less than one hour until vote on . Every Senator who votes for him is voting to destroy Medicare:,English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_4.csv,Politics & Governance,"['\\bvote\\b', '\\bvotes\\b', '\\bvoting\\b']","['\\bvote\\b', '\\bvotes\\b', '\\bvoting\\b']",[],[],3,0,0,34,,,
The #Senate who've #boycotted should have their pay docked for not being their to vote! I hope the voters will boot them in 2 years! Babies https://t.co/jUp0gUk6ID,The #Senate who've #boycotted should have their pay docked for not being their to vote! I hope the voters will boot them in 2 years! Babies,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bvoters\\b', '\\bvote\\b', '\\bsenate\\b']","['\\bvoters\\b', '\\bvote\\b', '\\bsenate\\b']",[],[],3,0,0,34,,,
Prepare Congress for President Bernie Sanders!  DON'T VOTE FOR ANY SUPERDELEGATES WHO DON'T SUPPORT#BernieSanders   https://t.co/CtAx6fyXrB,Prepare Congress for President Bernie Sanders! DON'T VOTE FOR ANY SUPERDELEGATES WHO DON'T SUPPORT#BernieSanders,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bvote\\b', '\\bpresident\\b', '\\bcongress\\b']","['\\bvote\\b', '\\bpresident\\b', '\\bcongress\\b']",[],[],3,0,0,34,,,
Senate confirmed 3 AGs consecutively by unanimous votes Richard Thornburgh 85-0 in '88 William Barr voice vote in '91 Janet Reno 98-0 in '93,Senate confirmed 3 AGs consecutively by unanimous votes Richard Thornburgh 85-0 in '88 William Barr voice vote in '91 Janet Reno 98-0 in '93,English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_6.csv,Politics & Governance,"['\\bvote\\b', '\\bvotes\\b', '\\bsenate\\b']","['\\bvote\\b', '\\bvotes\\b', '\\bsenate\\b']",[],[],3,0,0,34,,,
"Sydney, Australia: Muslim students are so raged against the un-Islamic teaching at school that they threaten to behead the infidel teachers. https://t.co/3l33COR0Te","Sydney, Australia: Muslim students are so raged against the un-Islamic teaching at school that they threaten to behead the infidel teachers.",English,Right,RightTroll,,0,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']",[],[],3,0,0,34,,,
"Mississippi NAACP demands a federal hate crime investigation, says 4 white high school students put a noose around a black student's neck. https://t.co/KfLIovaBNa","Mississippi NAACP demands a federal hate crime investigation, says 4 white high school students put a noose around a black student's neck.",English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']",[],[],3,0,0,34,,,
#health Last two Santa Clara University students released from hospital in good condition,#health Last two Santa Clara University students released from hospital in good condition,English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bhealth\\b', '\\bhospital\\b', '\\bstudents\\b']","['\\bhealth\\b', '\\bhospital\\b', '\\bstudents\\b']",[],[],3,0,0,34,,,
Some white high school students in Mississippi placed a noose around a black student's neck. The cops' response:   https://t.co/eMSczN6F9X https://t.co/0Xv9SViIn4,Some white high school students in Mississippi placed a noose around a black student's neck. The cops' response:,English,left,LeftTroll,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']",[],[],3,0,0,34,,,
#health Cupertino High School student's invention could help Parkinson's patients,#health Cupertino High School student's invention could help Parkinson's patients,English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bhealth\\b', '\\bschool\\b', '\\bstudent\\b']","['\\bhealth\\b', '\\bschool\\b', '\\bstudent\\b']",[],[],3,0,0,34,,,
"#Breaking: Schools, health officials retool flu clinics to offer vaccine injections only https://t.co/0HUzLReHzQ","#Breaking: Schools, health officials retool flu clinics to offer vaccine injections only",English,local,NewsFeed,,0,IRAhandle_tweets_1.csv,Society & Health,"['\\bhealth\\b', '\\bflu\\b', '\\bschools\\b']","['\\bhealth\\b', '\\bflu\\b', '\\bschools\\b']",[],[],3,0,0,34,,,
Los Angeles Unified School Board Votes To Protect “Illegal Students And Families” https://t.co/dn9j4yy8tP https://t.co/pLNpwoAkBh,Los Angeles Unified School Board Votes To Protect “Illegal Students And Families”,English,Right,RightTroll,,0,IRAhandle_tweets_8.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bfamilies\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bfamilies\\b']",[],[],3,0,0,34,,,
#Georgia teacher allowed #students to have sex in classroom. Is it #effective sexual education classes? http://t.co/m59hHaWeLm,#Georgia teacher allowed #students to have sex in classroom. Is it #effective sexual education classes?,English,Right,RightTroll,,0,IRAhandle_tweets_7.csv,Society & Health,"['\\bstudents\\b', '\\beducation\\b', '\\bteacher\\b']","['\\bstudents\\b', '\\beducation\\b', '\\bteacher\\b']",[],[],3,0,0,34,,,
"L.A. Unified paves the way for 15,000 students to take community college classes - during their high school day https://t.co/fnlKmsfCF2","L.A. Unified paves the way for 15,000 students to take community college classes - during their high school day",English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bcommunity\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bcommunity\\b']",[],[],3,0,0,34,,,
"bbusa617 EXPOSED: Wes Bellamy, the Vice-mayor of Charlottesville, VA, High School Teacher, and member of the Education Board has resigned","bbusa617 EXPOSED: Wes Bellamy, the Vice-mayor of Charlottesville, VA, High School Teacher, and member of the Education Board has resigned",English,Right,RightTroll,,0,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\beducation\\b', '\\bteacher\\b']","['\\bschool\\b', '\\beducation\\b', '\\bteacher\\b']",[],[],3,0,0,34,,,
Students launch #CopsOuttaCampus campaign at Phoenix Union High School District schools https://t.co/ZbSlZ71E4A https://t.co/mRVlZ5aFde,Students launch #CopsOuttaCampus campaign at Phoenix Union High School District schools,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Society & Health,"['\\bschool\\b', '\\bschools\\b', '\\bstudents\\b']","['\\bschool\\b', '\\bschools\\b', '\\bstudents\\b']",[],[],3,0,0,34,,,
#Miami Student taken to hospital after 'incident' at Miami Killian Senior High School  #local,#Miami Student taken to hospital after 'incident' at Miami Killian Senior High School #local,English,local,NewsFeed,,0,IRAhandle_tweets_8.csv,Society & Health,"['\\bhospital\\b', '\\bschool\\b', '\\bstudent\\b']","['\\bhospital\\b', '\\bschool\\b', '\\bstudent\\b']",[],[],3,0,0,34,,,
"Asian markets were roiled Monday, as China’s stocks fell into bear-market territ @management4all @ClosingBellCo http://t.co/GkB6YCr5x2","Asian markets were roiled Monday, as China’s stocks fell into bear-market territ",English,Commercial,Commercial,,0,IRAhandle_tweets_1.csv,Economy & Business,"['\\bmarket\\b', '\\bmarkets\\b', '\\bstocks\\b']","['\\bmarket\\b', '\\bmarkets\\b', '\\bstocks\\b']",[],[],3,0,0,34,,,
Taiwan Stock Market - What Are Undervalued Stocks and What You Should Know?...fcHJ @VirginiaPruit12 @vbenellimosell http://t.co/XBAWLnOrBO,Taiwan Stock Market - What Are Undervalued Stocks and What You Should Know?...fcHJ,English,Commercial,Commercial,,0,IRAhandle_tweets_1.csv,Economy & Business,"['\\bmarket\\b', '\\bstock\\b', '\\bstocks\\b']","['\\bmarket\\b', '\\bstock\\b', '\\bstocks\\b']",[],[],3,0,0,34,,,
PR's economy is now teetering And China's too Stocks free fall into a bear market it's Market is about to @kurtwvs http://t.co/dGEQeZTgui,PR's economy is now teetering And China's too Stocks free fall into a bear market it's Market is about to,English,Commercial,Commercial,,0,IRAhandle_tweets_1.csv,Economy & Business,"['\\beconomy\\b', '\\bmarket\\b', '\\bstocks\\b']","['\\beconomy\\b', '\\bmarket\\b', '\\bstocks\\b']",[],[],3,0,0,34,,,
China has more billionaires than US: Number growing despite 20% drop in domestic stock markets & economic slowdown https://t.co/nZvODNGbi8,China has more billionaires than US: Number growing despite 20% drop in domestic stock markets & economic slowdown,English,Russian,NonEnglish,RETWEET,1,IRAhandle_tweets_7.csv,Economy & Business,"['\\beconomic\\b', '\\bmarkets\\b', '\\bstock\\b']","['\\beconomic\\b', '\\bmarkets\\b', '\\bstock\\b']",[],[],3,0,0,34,,,
[SEATimes Business] US stocks fall in early trade as Greece debt woes escalate dlvr.itBMXLMK @SEASmallBiz @KPpigments http://t.co/RDGBjmd2Tb,[SEATimes Business] US stocks fall in early trade as Greece debt woes escalate dlvr.itBMXLMK,English,Commercial,Commercial,,0,IRAhandle_tweets_1.csv,Economy & Business,"['\\bbusiness\\b', '\\bstocks\\b', '\\btrade\\b']","['\\bbusiness\\b', '\\bstocks\\b', '\\btrade\\b']",[],[],3,0,0,34,,,
Latest Report on #IoT chip Market with Economic Impact &amp; Business. 💲BettyKrueger .@Varneyco @warriors_mom #Tech  https://t.co/exlLLUkVCq,Latest Report on #IoT chip Market with Economic Impact and Business. 💲BettyKrueger . #Tech,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_7.csv,Economy & Business,"['\\beconomic\\b', '\\bbusiness\\b', '\\bmarket\\b']","['\\beconomic\\b', '\\bbusiness\\b', '\\bmarket\\b']",[],[],3,0,0,34,,,
Trump reacts to Obama sanctions on Russia for election hacking https://t.co/mYO4jlhTpY https://t.co/vX2R5R1KZS,Trump reacts to Obama sanctions on Russia for election hacking,English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bsanctions\\b', '\\brussia\\b', '\\btrump\\b', '\\bobama\\b']","['\\belection\\b', '\\bsanctions\\b']","['\\brussia\\b', '\\btrump\\b', '\\bobama\\b']",[],2,3,0,34,,,
"Obama speaks out on President Trump's immigration policy, encourages protests https://t.co/x2joI00PGG https://t.co/6CpBjrTnxS","Obama speaks out on President Trump's immigration policy, encourages protests",English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bpresident\\b', '\\bimmigration\\b', '\\bpolicy\\b', '\\btrump\\b', '\\bobama\\b']","['\\bpresident\\b', '\\bimmigration\\b']","['\\bpolicy\\b', '\\btrump\\b', '\\bobama\\b']",[],2,3,0,34,,,
#local #news Phoenix police: High school teacher accused of stalking student,#local #news Phoenix police: High school teacher accused of stalking student,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],3,0,0,33,,,
Middle school students arrested after poisoning teacher’s soda  #news,Middle school students arrested after poisoning teacher’s soda #news,English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],3,0,0,33,,,
Indonesia frees international school teachers jailed for student abuse  #news,Indonesia frees international school teachers jailed for student abuse #news,English,news,NewsFeed,,0,IRAhandle_tweets_7.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteachers\\b']",[],[],3,0,0,33,,,
May Wins UK Parliament Vote To Allow June 8th Snap Election https://t.co/rCrblWc20I,May Wins UK Parliament Vote To Allow June 8th Snap Election,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bparliament\\b']","['\\belection\\b', '\\bvote\\b', '\\bparliament\\b']",[],[],3,0,0,32,,,
5 Children Taken To Hospital After School Bus Hits Tree In Delaware https://t.co/AHQyxU5Bma https://t.co/TX6mASSiD0,5 Children Taken To Hospital After School Bus Hits Tree In Delaware,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Society & Health,"['\\bhospital\\b', '\\bschool\\b', '\\bchildren\\b']","['\\bhospital\\b', '\\bschool\\b', '\\bchildren\\b']",[],[],3,0,0,32,,,
Police: Cutler Bay High School Teacher Admits To Sexual Relations With Student https://t.co/KM33nf1m6e https://t.co/OlAF9hIqxQ,Police: Cutler Bay High School Teacher Admits To Sexual Relations With Student,English,local,NewsFeed,,0,IRAhandle_tweets_8.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],3,0,0,32,,,
"Schools, health officials retool flu clinics to offer vaccine injections only https://t.co/dO3MKm4wxJ","Schools, health officials retool flu clinics to offer vaccine injections only",English,local,NewsFeed,,0,IRAhandle_tweets_1.csv,Society & Health,"['\\bhealth\\b', '\\bflu\\b', '\\bschools\\b']","['\\bhealth\\b', '\\bflu\\b', '\\bschools\\b']",[],[],3,0,0,32,,,
Stone Oak school community mourns fallen teacher https://t.co/kmHsWz18wI https://t.co/4HdOT7i9MF,Stone Oak school community mourns fallen teacher,English,local,NewsFeed,,0,IRAhandle_tweets_7.csv,Society & Health,"['\\bschool\\b', '\\bteacher\\b', '\\bcommunity\\b']","['\\bschool\\b', '\\bteacher\\b', '\\bcommunity\\b']",[],[],3,0,0,32,,,
Texas high school student busted for urinating in teacher's cup https://t.co/BmYmJBEiOX https://t.co/N7ZWwrGP2Y,Texas high school student busted for urinating in teacher's cup,English,local,NewsFeed,,0,IRAhandle_tweets_8.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],3,0,0,32,,,
Primary school children call for sex education for MPs https://t.co/BKyLHBSovC https://t.co/BTUdexZqzx,Primary school children call for sex education for MPs,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_5.csv,Society & Health,"['\\bschool\\b', '\\beducation\\b', '\\bchildren\\b']","['\\bschool\\b', '\\beducation\\b', '\\bchildren\\b']",[],[],3,0,0,32,,,
"2 students, 1 teacher wounded in SC elementary school shooting https://t.co/GF3t3iUK33","2 students, 1 teacher wounded in SC elementary school shooting",English,local,NewsFeed,,0,IRAhandle_tweets_8.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],3,0,0,32,,,
Education on #BlackLivesMatter for School Students https://t.co/WlUOK5RfkH,Education on #BlackLivesMatter for School Students,English,left,LeftTroll,,0,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\beducation\\b']","['\\bschool\\b', '\\bstudents\\b', '\\beducation\\b']",[],[],3,0,0,32,,,
"Oakland students, teachers call for school shut downs for Trump inauguration https://t.co/bkw7oFqwyS https://t.co/4FOhfh0UpV","Oakland students, teachers call for school shut downs for Trump inauguration",English,local,NewsFeed,,0,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']",[],[],3,0,0,32,,,
